selector,type,count,files
.1,class,63,"app\admin\rag\page.jsx;app\api\auth\password\reset\route.js;app\api\chat\analyze-file\route.js;app\api\chat\conversations\route.js;app\api\chat\conversations\[id]\messages\route.js;app\api\chat\conversations\[id]\route.js;app\api\chat\route.js;app\api\rag\selftest\route.js;app\api\rag\[...path]\route.js;app\api\subscription\route.js;app\error.jsx;app\notfound.jsx;app\sitemap.js;app\start\page.jsx;app\taasta-parool\[token]\ResetPasswordForm.jsx;auth.js;components\accessibility\AccessibilityModal.jsx;components\accessibility\AccessibilityProvider.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ConversationDrawer.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\KasutustingimusedBody.jsx;components\alalehed\PrivaatsusBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\TellimusBody.jsx;components\alalehed\UnustasinParooliBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\Animations\Magnet\Magnet.jsx;components\backgrounds\BackgroundLayer.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\effects\Components\Dock\Dock.jsx;components\i18n\I18nProvider.jsx;components\LoginModal.jsx;components\pwa\InstallAppLink.jsx;components\Space.jsx;components\SplashCursor.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\FancyCheckbox.jsx;components\ui\FancyRadio.jsx;components\ui\SotsiaalAILoader.jsx;docs\LOCAL_DEV.md;docs\RAG_SETUP.md;lib\analyzeQuota.js;lib\auth\pin-login.js;lib\mailer.js;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;middleware.js;package-lock.json;package.json;rag-service\main.py;scripts\unused-css-report.js;temp_et_head.json"
.45,class,5,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ProfiilBody.jsx;components\Space.jsx;components\ui\SotsiaalAILoader.jsx"
.05em,class,0,""
.pin-indicator,class,1,"components\LoginModal.jsx"
.moved-below,class,1,"components\LoginModal.jsx"
.tightened-gap,class,1,"components\LoginModal.jsx"
.1rem,class,6,"components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\TellimusBody.jsx"
.125rem,class,2,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.pin-dot,class,1,"components\LoginModal.jsx"
.75rem,class,9,"app\taasta-parool\[token]\ResetPasswordForm.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\UnustasinParooliBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\ui\FancyCheckbox.jsx"
