category,value,count,file_count,example_files
rgb,"rgba(197, 113, 113, 0)",16,1,app/styles/shared/ui-glow.css
rgb,"rgba(0, 0, 0, 0.28)",15,7,app/styles/components/selected-listing.css | app/styles/components/workspace-help-listings.css | app/styles/features/chat/shell.css | app/styles/features/policy/responsive.css | app/styles/theme/mono.css | components/covision/CovisionPage.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.035)",15,10,app/styles/components/workspace-help-listings.css | app/styles/features/chat/help-listings-modal-surfaces.css | app/styles/features/documents/agent.css | app/styles/features/documents/workspace.css | app/styles/shared/glass-subpage.css | app/styles/shared/ui-glow.css | app/styles/theme/night.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(82, 50, 46, 0.08)",15,6,app/styles/features/chat/shell.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/ui-glow.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(255, 234, 0, 0.72)",15,6,app/styles/features/chat/shell.css | app/styles/features/documents/ui.css | app/styles/features/service-map/desktop/popup.css | app/styles/shared/ui-glow.css | components/chat/rail.module.css | components/ui/BorderGlow.module.css
rgb,"rgba(255, 234, 0, 0.08)",15,8,app/styles/features/chat/shell.css | app/styles/features/service-map/desktop/popup.css | app/styles/shared/ui-glow.css | app/styles/theme/hc.css | components/covision/CovisionPage.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/ui/BorderGlow.module.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 255, 255, 0.18)",15,5,app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(var(--hc-accent-rgb),0.92)",15,1,app/styles/theme/hc.css
rgb,"rgba(var(--hc-accent-rgb),0.1)",15,1,app/styles/theme/hc.css
rgb,"rgba(122, 58, 56, 0.08)",14,4,app/styles/features/documents/ui.css | app/styles/features/service-map/desktop/base.css | app/styles/theme/light.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(var(--hc-accent-rgb),0.14)",14,1,app/styles/theme/hc.css
rgb,"rgb(18, 26, 40)",13,4,app/styles/features/documents/workspace.css | app/styles/theme/hc.css | app/styles/theme/night.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(0, 0, 0, 0.1)",12,7,app/styles/features/chat/shell.css | app/styles/features/home/desktop.css | app/styles/features/policy/pages.css | app/styles/features/profile/mobile.css | app/styles/shared/ui-glow.css | app/styles/theme/light.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(122, 58, 56, 0.12)",12,8,app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/toolbar.css | app/styles/theme/mid.css | components/chat/WorkspacePanel.module.css | components/covision/CovisionPage.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.94)",12,8,app/styles/features/chat/themes.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | components/chat/WorkspacePanel.module.css | components/covision/CovisionPage.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 255, 255, 0.28)",12,5,app/styles/features/chat/themes.css | app/styles/shared/login-a11y.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.92)",12,6,app/styles/features/chat/themes.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.12)",12,6,app/styles/features/documents/ui.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/ui-glow.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.1)",12,6,app/styles/features/documents/workspace.css | app/styles/shared/glass-subpage.css | app/styles/shared/ui-glow.css | app/styles/theme/mid.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(255, 255, 255, 0.11)",12,7,app/styles/features/home/themes.css | app/styles/features/policy/pages.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/glass-subpage.css | app/styles/shared/login-a11y.css | app/styles/shared/ui-glow.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(30, 40, 58, 0.52)",12,3,app/styles/features/profile/hc.css | app/styles/theme/hc.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(var(--hc-accent-rgb),0.9)",12,1,app/styles/theme/hc.css
rgb,"rgba(2, 6, 16, 0.24)",11,6,app/styles/features/chat/hc.css | app/styles/features/chat/shell.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/theme/hc.css | app/styles/theme/night.css
rgb,"rgba(255, 234, 0, 0.2)",11,5,app/styles/features/chat/shell.css | app/styles/shared/ui-glow.css | app/styles/theme/hc.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/ui/BorderGlow.module.css
rgb,"rgba(255, 255, 255, 0.82)",11,5,app/styles/features/chat/themes.css | app/styles/shared/login-a11y.css | app/styles/shared/ui-glow.css | app/styles/theme/light.css | components/covision/CovisionPage.module.css
rgb,"rgba(255, 255, 255, 0.14)",11,8,app/styles/features/documents/agent.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/glass-subpage.css | app/styles/shared/ui-glow.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css | components/chat/rail.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgb(28, 28, 28)",11,5,app/styles/features/documents/mono.css | app/styles/features/documents/workspace.css | app/styles/theme/mono.css | components/chat/rail.module.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 255, 255, 0.22)",11,8,app/styles/features/documents/workspace.css | app/styles/features/policy/pages.css | app/styles/features/profile/mobile.css | app/styles/shared/glass-subpage.css | app/styles/shared/login-a11y.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.3)",11,4,app/styles/features/policy/pages.css | app/styles/shared/glass-subpage.css | app/styles/shared/login-a11y.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(2, 6, 16, 0.13)",11,3,app/styles/features/profile/hc.css | app/styles/theme/hc.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.2)",10,7,app/styles/base/backgrounds.css | app/styles/features/documents/workspace.css | app/styles/features/policy/pages.css | app/styles/shared/glass-subpage.css | app/styles/shared/login-a11y.css | components/TextAnimations/CircularText/CircularText.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(0, 0, 0, 0.9)",10,5,app/styles/components/selected-listing.css | app/styles/components/workspace-help-listings.css | app/styles/features/policy/responsive.css | app/styles/features/service-map/desktop/base.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 234, 0, 0.66)",10,3,app/styles/features/chat/shell.css | app/styles/features/documents/ui.css | app/styles/theme/hc.css
rgb,"rgba(197, 113, 113, 0.28)",10,7,app/styles/features/chat/shell.css | app/styles/shared/workspace-dashboard-card-compact.css | app/styles/tokens.css | components/chat/RightRail.module.css | components/chat/WorkspacePanel.module.css | components/covision/CovisionPage.module.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgb(249, 249, 248)",10,3,app/styles/features/chat/themes.css | app/styles/features/documents/workspace.css | app/styles/theme/light.css
